<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si-9.23,1,20230912,120800,95228.0000000,95235.0000000,95144.0000000,95177.0000000,6438
SPFB.Si-9.23,1,20230912,120900,95178.0000000,95186.0000000,95125.0000000,95154.0000000,2011
SPFB.Si-9.23,1,20230912,121000,95154.0000000,95189.0000000,95150.0000000,95189.0000000,1642
SPFB.Si-9.23,1,20230912,121100,95188.0000000,95200.0000000,95164.0000000,95198.0000000,2229
SPFB.Si-9.23,1,20230912,121200,95198.0000000,95270.0000000,95198.0000000,95249.0000000,7516
SPFB.Si-9.23,1,20230912,121300,95247.0000000,95254.0000000,95185.0000000,95205.0000000,2532
SPFB.Si-9.23,1,20230912,121400,95207.0000000,95233.0000000,95176.0000000,95202.0000000,3635
SPFB.Si-9.23,1,20230912,121500,95205.0000000,95226.0000000,95162.0000000,95177.0000000,6921
SPFB.Si-9.23,1,20230912,121600,95177.0000000,95189.0000000,95053.0000000,95066.0000000,7860
SPFB.Si-9.23,1,20230912,121700,95066.0000000,95098.0000000,95053.0000000,95065.0000000,3140
SPFB.Si-9.23,1,20230912,121800,95064.0000000,95084.0000000,95042.0000000,95056.0000000,5278
SPFB.Si-9.23,1,20230912,121900,95059.0000000,95088.0000000,95050.0000000,95080.0000000,1560
SPFB.Si-9.23,1,20230912,122000,95087.0000000,95100.0000000,95077.0000000,95079.0000000,1314
SPFB.Si-9.23,1,20230912,122100,95078.0000000,95093.0000000,95050.0000000,95058.0000000,2696
SPFB.Si-9.23,1,20230912,122200,95058.0000000,95077.0000000,95046.0000000,95067.0000000,1150
SPFB.Si-9.23,1,20230912,122300,95067.0000000,95089.0000000,95060.0000000,95070.0000000,1175
SPFB.Si-9.23,1,20230912,122400,95065.0000000,95067.0000000,95060.0000000,95060.0000000,460
SPFB.Si-9.23,1,20230912,122500,95060.0000000,95061.0000000,95012.0000000,95024.0000000,3684
SPFB.Si-9.23,1,20230912,122600,95024.0000000,95025.0000000,94973.0000000,94973.0000000,3234
SPFB.Si-9.23,1,20230912,122700,94974.0000000,94983.0000000,94932.0000000,94950.0000000,3625
SPFB.Si-9.23,1,20230912,122800,94951.0000000,94989.0000000,94941.0000000,94989.0000000,1629
SPFB.Si-9.23,1,20230912,122900,94988.0000000,94990.0000000,94951.0000000,94961.0000000,1521
SPFB.Si-9.23,1,20230912,123000,94963.0000000,95008.0000000,94949.0000000,95001.0000000,2201
SPFB.Si-9.23,1,20230912,123100,95002.0000000,95002.0000000,94962.0000000,94981.0000000,1360
SPFB.Si-9.23,1,20230912,123200,94981.0000000,94988.0000000,94903.0000000,94914.0000000,5263
SPFB.Si-9.23,1,20230912,123300,94915.0000000,94923.0000000,94864.0000000,94872.0000000,5334
SPFB.Si-9.23,1,20230912,123400,94871.0000000,94873.0000000,94815.0000000,94819.0000000,5148
SPFB.Si-9.23,1,20230912,123500,94820.0000000,94897.0000000,94811.0000000,94894.0000000,3314
SPFB.Si-9.23,1,20230912,123600,94887.0000000,94896.0000000,94837.0000000,94877.0000000,2141
SPFB.Si-9.23,1,20230912,123700,94878.0000000,94878.0000000,94850.0000000,94850.0000000,3217
SPFB.Si-9.23,1,20230912,123800,94850.0000000,94885.0000000,94850.0000000,94879.0000000,2749
SPFB.Si-9.23,1,20230912,123900,94879.0000000,94912.0000000,94874.0000000,94888.0000000,1555
SPFB.Si-9.23,1,20230912,124000,94885.0000000,94885.0000000,94850.0000000,94851.0000000,2376
SPFB.Si-9.23,1,20230912,124100,94851.0000000,94874.0000000,94850.0000000,94865.0000000,3909
SPFB.Si-9.23,1,20230912,124200,94865.0000000,94865.0000000,94850.0000000,94850.0000000,2207
SPFB.Si-9.23,1,20230912,124300,94851.0000000,94851.0000000,94707.0000000,94717.0000000,9409
SPFB.Si-9.23,1,20230912,124400,94714.0000000,94768.0000000,94706.0000000,94763.0000000,4203
SPFB.Si-9.23,1,20230912,124500,94761.0000000,94761.0000000,94730.0000000,94739.0000000,2235
SPFB.Si-9.23,1,20230912,124600,94737.0000000,94747.0000000,94682.0000000,94698.0000000,2929
SPFB.Si-9.23,1,20230912,124700,94698.0000000,94736.0000000,94675.0000000,94731.0000000,2741
SPFB.Si-9.23,1,20230912,124800,94729.0000000,94742.0000000,94701.0000000,94703.0000000,1453
